airborne,,sky-cloudy,,,diffuse,not_occluded,not_overexposure,not_underexposure,very small,heavy,undefined,,,out-of-scope,out-of-scope,Amazon Zeppelin
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
airborne,,sky-cloudy,,high,diffuse,not_occluded,not_overexposure,not_underexposure,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
